,_id,user_id,group_id,status,role,createdAt,updatedAt,__v
2238,62d8c450e8e61c0019334ec3,618531fabd0873001248aa25,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:13:20.860,2022-07-21 03:43:30.344,0
2239,62d8c33b05d953001a556a26,62b671120bc1a7001aceaa14,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:08:43.464,2022-07-21 03:43:18.502,0
2240,62d8c2f43e12aa00194a5737,61852c30bd0873001248aa17,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:07:32.763,2022-07-21 03:43:26.085,0
2241,62d8c2e73e12aa00194a5736,6187d44fbd0873001248ab56,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:07:19.649,2022-07-21 03:43:48.174,0
2242,62d8c2dbd3f88a001abd6770,617657e169c3c30018d8be5a,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:07:07.883,2022-07-21 03:43:11.341,0
2243,62d8c2c0d3f88a001abd676f,617fdba52f80fc00185341bf,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:06:40.063,2022-07-21 03:44:05.366,0
2244,62d8c297d3f88a001abd676e,62b6744ed1e2a9001b7f9ec0,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:05:59.482,2022-07-21 03:43:33.461,0
2245,62d8c25ad3f88a001abd676d,61f85c8eba55fa001ac3044e,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:04:58.959,2022-07-21 03:44:24.998,0
2246,62d8c2443e12aa00194a5735,61852b5cbd0873001248aa0f,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:04:36.810,2022-07-21 03:43:50.966,0
2247,62d8c2393e12aa00194a5734,618537b6bd0873001248aa2d,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:04:25.990,2022-07-21 03:43:20.821,0
2248,62d8c212d3f88a001abd676c,61852567bd0873001248a9fa,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:03:46.412,2022-07-21 03:43:14.041,0
2249,62d8c13f3e12aa00194a5733,61853d42bd0873001248aa35,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:00:15.233,2022-07-21 03:38:12.247,0
2250,62d8c1343e12aa00194a5732,61851ee1bd0873001248a9f1,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:00:04.705,2022-07-21 03:43:53.649,0
